ID,IBLOCK_ID,XML_ID,NAME,ACTIVE,CODE
440,12,440,"Проект черный MT Black Project MT",Y,black-project-mt
441,12,441,"Проект белый MT White Project MT",Y,white-project-mt
452,12,452,"Ступень Артстоун черный Step Artstone Black",Y,step-artstone-black
453,12,453,"Ступень Артстоун серый Step Artstone Gray",Y,step-artstone-gray
454,12,454,"Ступень Атлан 119 Step Atlan 119",Y,step-atlan-119
455,12,455,"Ступень Атлан 117 Step Atlan 117",Y,step-atlan-117
456,12,456,"Ступень Графит темный Step Grafit Dark",Y,step-grafit-dark
457,12,457,"Ступень Марс кремовый Step Mars Cream",Y,step-mars-cream
458,12,458,"Ступень Мурано Step Murano",Y,step-murano
459,12,459,"Ступень Статуарио Step Statuario",Y,step-statuario
460,12,460,"Ступень Торонто Step Toronto",Y,step-toronto
461,12,461,"Ступень Травертин Step Travertine",Y,step-travertine
462,12,462,"Ступень Ультра Step Ultra",Y,step-ultra
463,12,463,"Ступень Урбан темный Step Urban Dark",Y,step-urban-dark
464,12,464,"Кирпич 101 RsMT Brick 101 RsMT",Y,brick-101-rsmt
465,12,465,"Кирпич 102 RsMT Brick 102 RsMT",Y,brick-102-rsmt
466,12,466,"Кирпич 103 RsMT Brick 103 RsMT",Y,brick-103-rsmt
467,12,467,"Кирпич 104 RsMT Brick 104 RsMT",Y,brick-104-rsmt
468,12,468,"Кирпич 105 RsMT Brick 105 RsMT",Y,brick-105-rsmt
469,12,469,"Кирпич 106 RsMT Brick 106 RsMT",Y,brick-106-rsmt
470,12,470,"Кирпич 107 RsMT Brick 107 RsMT",Y,brick-107-rsmt
471,12,471,"Кирпич 108 RsMT Brick 108 RsMT",Y,brick-108-rsmt
472,12,472,"Кирпич 109 RsMT Brick 109 RsMT",Y,brick-109-rsmt
473,12,473,"Кирпич 111 RsMT Brick 111 RsMT",Y,brick-111-rsmt
474,12,474,"Стивен серый MT Steven Gray MT",Y,steven-gray-mt
475,12,475,"Эсма кремовый MT Esma Cream MT",Y,esma-cream-mt
476,12,476,"Эсма серый MT Esma Gray MT",Y,esma-gray-mt
477,12,477,"Гранит MT Granit MT",Y,granit-mt
478,12,478,"Петро MT Petro MT",Y,petro-mt
479,12,479,"Гарден MT Garden MT",Y,garden-mt
480,12,480,"Петра MT Petra MT",Y,petra-mt
481,12,481,"Парадайз RsMT Paradise RsMT",Y,paradise-rsmt
482,12,482,"Стивен кремовый MT Steven Cream MT",Y,steven-cream-mt
483,12,483,"Даян серый RsMT Dayan Gray RsMT",Y,dayan-gray-rsmt
484,12,484,"Джанет RsMT Janet RsMT",Y,janet-rsmt
485,12,485,"Роша серый 202 RsMT Rosha Gray 202 RsMT",Y,rosha-gray-202-rsmt
486,12,486,"Роша темно-кремовый 204 RsMT Rosha Cream Dark 204 RsMT",Y,rosha-cream-dark-204-rsmt
487,12,487,"Роша светло-кремовый 207 RsMT Rosha Cream Light 207 RsMT",Y,rosha-cream-light-207-rsmt
488,12,488,"Прага серый RsMT Prague Gray RsMT",Y,prague-gray-rsmt
489,12,489,"Прага бежевый RsMT Prague Beige RsMT",Y,prague-beige-rsmt
490,12,490,"Атлан 109 MRP Atlan 109 MRP",Y,atlan-109-mrp
491,12,491,"Атлан 110 MRP Atlan 110 MRP",Y,atlan-110-mrp
492,12,492,"Атлан 111 MRP Atlan 111 MRP",Y,atlan-111-mrp
493,12,493,"Атлан 113 MRP Atlan 113 MRP",Y,atlan-113-mrp
494,12,494,"Атлан 114 MRP Atlan 114 MRP",Y,atlan-114-mrp
495,12,495,"Атлан 115 MRP Atlan 115 MRP",Y,atlan-115-mrp
496,12,496,"Атлан 116 MRP Atlan 116 MRP",Y,atlan-116-mrp
497,12,497,"Атлан 117 MRP Atlan 117 MRP",Y,atlan-117-mrp
498,12,498,"Атлан 118 MRP Atlan 118 MRP",Y,atlan-118-mrp
499,12,499,"Атлан 119 MRP Atlan 119 MRP",Y,atlan-119-mrp
500,12,500,"София кремовый MT Sofia Cream MT",Y,sofia-cream-mt
501,12,501,"София темно-серый MT Sofia Gray Dark MT",Y,sofia-gray-dark-mt
502,12,502,"София коричневый MT Sofia Brown MT",Y,sofia-brown-mt
503,12,503,"София светло-серый MT Sofia Gray Light MT",Y,sofia-gray-light-mt
504,12,504,"Генезис светло-кремовый MT Genesis Cream Light MT",Y,genesis-cream-light-mt
505,12,505,"Магнум темно-кремовый MT Magnum Cream Dark MT",Y,magnum-cream-dark-mt
506,12,506,"Оскар-Вуд кремовый MT Oscar-Wood Cream MT",Y,oscar-wood-cream-mt
507,12,507,"Вик-Вуд коричневый MT Wick-Wood Brown MT",Y,wick-wood-brown-mt
508,12,508,"Флорида коричневый MT Florida Brown MT",Y,florida-brown-mt
509,12,509,"Генезис коричневый MT Genesis Brown MT",Y,genesis-brown-mt
510,12,510,"Арктик MT Arctic MT",Y,arctic-mt
511,12,511,"Базальт MT Basalt MT",Y,basalt-mt
512,12,512,"Сланец MT Slate MT",Y,slate-mt
513,12,513,"Лофт MT Loft MT",Y,loft-mt
514,12,514,"Элегант MT Elegant MT",Y,elegant-mt
515,12,515,"Тиволи MT Tivoli MT",Y,tivoli-mt
516,12,516,"Савана темно-серый MT Savana Gray Dark MT",Y,savana-gray-dark-mt
517,12,517,"Савана светло-серый MT Savana Gray Light MT",Y,savana-gray-light-mt
518,12,518,"Бернадо темно-серый MT Bernado Gray Dark MT",Y,bernado-gray-dark-mt
519,12,519,"Патрия MT Patria MT",Y,patria-mt
520,12,520,"Бернадо кремовый MT Bernado Cream MT",Y,bernado-cream-mt
521,12,521,"Прима серый MT Prima Gray MT",Y,prima-gray-mt
522,12,522,"Серена MT Serena MT",Y,serena-mt
523,12,523,"Фалько светло-серый MT Falco Gray Light MT",Y,falco-gray-light-mt
524,12,524,"Верона MT Verona MT",Y,verona-mt
525,12,525,"Бенефит серый SHG Benefit Gray SHG",Y,benefit-gray-shg
526,12,526,"Реджина серый SHG Rejina Gray SHG",Y,rejina-gray-shg
527,12,527,"Пластер 6046 SHG Plaster 6046 SHG",Y,plaster-6046-shg
528,12,528,"Вулкано 6047 SHG Volkano 6047 SHG",Y,volkano-6047-shg
529,12,529,"Антик 6044 SHG Antik 6044 SHG",Y,antik-6044-shg
530,12,530,"Венециан 6070 SHG Venecian 6070 SHG",Y,venecian-6070-shg
531,12,531,"Конкрет темный 6048 SHG Concret Dark 6048 SHG",Y,concret-dark-6048-shg
532,12,532,"Артбетон темный 6068 SHG Artbeton Dark 6068 SHG",Y,artbeton-dark-6068-shg
533,12,533,"Артбетон светлый 6069 SHG Artbeton Light 6069 SHG",Y,artbeton-light-6069-shg
534,12,534,"Конкрет светлый 6049 SHG Concret Light 6049 SHG",Y,concret-light-6049-shg
535,12,535,"Шарм кремовый SHG Charme Cream SHG",Y,charme-cream-shg
536,12,536,"Сенат бежевый SHG Senat Beige SHG",Y,senat-beige-shg
537,12,537,"Марми золотой SHG Marmi Gold SHG",Y,marmi-gold-shg
538,12,538,"Сиена бежевый SHG Siena Beige SHG",Y,siena-beige-shg
539,12,539,"Нева серый MT Neva Gray MT",Y,neva-gray-mt
540,12,540,"Дунай темно-серый MT Dunay Gray Dark MT",Y,dunay-gray-dark-mt
541,12,541,"Дунай светло-серый MT Dunay Gray Light MT",Y,dunay-gray-light-mt
542,12,542,"Араз светло-серый MT Araz Gray Light MT",Y,araz-gray-light-mt
543,12,543,"Памир серый MT Pamir Gray MT",Y,pamir-gray-mt
544,12,544,"Мадейра светло-серый MT Madeira Gray Light MT",Y,madeira-gray-light-mt
545,12,545,"Байкал кремовый MT Baykal Cream MT",Y,baykal-cream-mt
